,index,r_id,freq,norm_freq
0,0,0,298,0.01636158475426279
1,1,1,1272,0.0774197592778335
2,2,2,2671,0.16512036108324976
3,3,3,8423,0.5257021063189569
4,4,4,2262,0.13948094282848544
5,5,5,2265,0.1396690070210632
6,6,6,9494,0.5928410230692076
7,7,7,9465,0.5910230692076228
8,8,8,15989,1.0
9,9,9,2655,0.1641173520561685
10,10,10,2834,0.17533851554663993
11,11,11,1429,0.08726178535606821
12,12,12,2992,0.1852432296890672
13,13,13,12893,0.8059177532597793
14,14,14,2570,0.1587888665997994
15,15,15,5201,0.3237211634904714
16,16,16,182,0.00908976930792377
17,17,17,10945,0.6838014042126379
18,18,18,596,0.03504262788365095
19,19,19,12157,0.7597793380140421
20,20,20,5880,0.36628635907723167
21,21,21,1908,0.11728936810431294
22,22,22,2640,0.16317703109327983
23,23,23,797,0.047642928786359076
24,24,24,2465,0.15220661985957873
25,25,25,3612,0.2241098294884654
26,26,26,5305,0.3302407221664995
27,27,27,2727,0.1686308926780341
28,28,28,2407,0.14857071213640924
29,29,29,2130,0.13120611835506518
30,30,30,3310,0.20517803410230692
31,31,31,7268,0.4532973921765296
32,32,32,2337,0.1441825476429288
33,33,33,373,0.02106318956870612
34,34,34,1210,0.07353309929789369
35,35,35,1070,0.0647567703109328
36,36,36,622,0.03667251755265798
37,37,37,760,0.045323470411233704
38,38,38,6277,0.39117352056168503
39,39,39,695,0.04124874623871615
40,40,40,676,0.040057673019057174
41,41,41,1772,0.10876379137412237
42,42,42,1938,0.11917001003009027
43,43,43,3717,0.23069207622868607
44,44,44,734,0.04369358074222668
45,45,45,1511,0.09240220661985958
46,46,46,330,0.018367602808425275
47,47,47,5673,0.3533099297893681
48,48,48,4197,0.26078234704112335
49,49,49,183,0.00915245737211635
50,50,50,737,0.04388164493480441
51,51,51,254,0.013603309929789368
52,52,52,678,0.04018304914744233
53,53,53,153,0.007271815446339017
54,54,54,142,0.006582246740220662
55,55,55,93,0.003510531594784353
56,56,56,459,0.026454363089267803
57,57,57,497,0.028836509528585758
58,58,58,2051,0.12625376128385155
59,59,59,603,0.035481444332999
60,60,60,475,0.027457372116349046
61,61,61,856,0.05134152457372116
62,62,62,579,0.03397693079237713
63,63,63,756,0.04507271815446339
64,64,64,814,0.048708625877632895
65,65,65,664,0.03930541624874624
66,66,66,3738,0.23200852557673018
67,67,67,204,0.010468906720160482
68,68,68,688,0.04080992978936811
69,69,69,1153,0.06995987963891676
70,70,70,335,0.018681043129388165
71,71,71,2063,0.12700601805416248
72,72,72,760,0.045323470411233704
73,73,73,256,0.013728686058174523
74,74,74,384,0.021752758274824473
75,75,75,3795,0.23558174523570713
76,76,76,2226,0.13722417251755265
77,77,77,1404,0.08569458375125376
78,78,78,125,0.005516549648946841
79,79,79,269,0.014543630892678034
80,80,80,423,0.024197592778335004
81,81,81,526,0.03065446339017051
82,82,82,1085,0.06569709127382146
83,83,83,852,0.051090772316950854
84,84,84,1285,0.07823470411233702
85,85,85,2909,0.18004012036108324
86,86,86,1568,0.09597542627883651
87,87,87,463,0.026705115346038113
88,88,88,276,0.014982447342026079
89,89,89,2257,0.13916750250752258
90,90,90,285,0.015546639919759278
91,91,91,121,0.00526579739217653
92,92,92,1327,0.08086760280842528
93,93,93,215,0.011158475426278836
94,94,94,331,0.018430290872617855
95,95,95,689,0.04087261785356068
96,96,96,437,0.025075225677031094
97,97,97,717,0.04262788365095286
98,98,98,233,0.012286860581745235
99,99,99,100,0.0039493480441323975
100,100,100,783,0.04676529588766299
101,101,101,2622,0.16204864593781343
102,102,102,859,0.051529588766298894
103,103,103,909,0.054663991975927785
104,104,104,381,0.02156469408224674
105,105,105,192,0.009716649949849549
106,106,106,977,0.05892678034102307
107,107,107,1006,0.06074473420260782
108,108,108,456,0.02626629889669007
109,109,109,787,0.047016048144433296
110,110,110,225,0.011785356068204614
111,111,111,305,0.016800401203610833
112,112,112,494,0.028648445336008025
113,113,113,142,0.006582246740220662
114,114,114,100,0.0039493480441323975
115,115,115,345,0.01930792377131394
116,116,116,1039,0.0628134403209629
117,117,117,607,0.03573219658976931
118,118,118,411,0.02344533600802407
119,119,119,250,0.013352557673019056
120,120,120,788,0.047078736208625876
121,121,121,246,0.013101805416248747
122,122,122,349,0.019558676028084254
123,123,123,449,0.025827482447342027
124,124,124,728,0.04331745235707121
125,125,125,128,0.005704613841524574
126,126,126,154,0.0073345035105315945
127,127,127,300,0.016486960882647943
128,128,128,360,0.020248244734202607
129,129,129,215,0.011158475426278836
130,130,130,3500,0.2170887662988967
131,131,131,424,0.02426028084252758
132,132,132,161,0.007773319959879639
133,133,133,610,0.035920260782347044
134,134,134,750,0.044696589769307925
135,135,135,386,0.02187813440320963
136,136,136,662,0.03918004012036108
137,137,137,966,0.058237211634904716
138,138,138,218,0.01134653961885657
139,139,139,190,0.009591273821464394
140,140,140,259,0.013916750250752256
141,141,141,475,0.027457372116349046
142,142,142,178,0.008839017051153461
143,143,143,721,0.04287863590772317
144,144,144,137,0.0062688064192577735
145,145,145,416,0.02375877632898696
146,146,146,533,0.031093279839518557
147,147,147,157,0.007522567703109328
148,148,148,535,0.03121865596790371
149,149,149,121,0.00526579739217653
150,150,150,345,0.01930792377131394
151,151,151,122,0.005328485456369107
152,152,152,747,0.04450852557673019
153,153,153,217,0.011283851554663993
154,154,154,1151,0.0698345035105316
155,155,155,394,0.022379638916750252
156,156,156,192,0.009716649949849549
157,157,157,490,0.028397693079237712
158,158,158,305,0.016800401203610833
159,159,159,316,0.01748996990972919
160,160,160,552,0.03228435305917753
161,161,161,417,0.023821464393179538
162,162,162,271,0.014669007021063189
163,163,163,363,0.02043630892678034
164,164,164,236,0.012474924774322969
165,165,165,107,0.004388164493480441
166,166,166,476,0.027520060180541626
167,167,167,125,0.005516549648946841
168,168,168,179,0.008901705115346038
169,169,169,573,0.033600802407221665
170,170,170,536,0.03128134403209629
171,171,171,101,0.004012036108324975
172,172,172,335,0.018681043129388165
173,173,173,113,0.004764292878635908
174,174,174,581,0.034102306920762285
175,175,175,131,0.005892678034102307
176,176,176,352,0.019746740220661987
177,177,177,218,0.01134653961885657
178,178,178,125,0.005516549648946841
179,179,179,114,0.004826980942828485
180,180,180,102,0.004074724172517552
181,181,181,102,0.004074724172517552
182,182,182,148,0.006958375125376128
183,183,183,336,0.01874373119358074
184,184,184,158,0.007585255767301906
185,185,185,268,0.014480942828485456
186,186,186,179,0.008901705115346038
187,187,187,103,0.004137412236710131
188,188,188,343,0.019182547642928788
189,189,189,260,0.013979438314944834
190,190,190,181,0.009027081243731194
191,191,191,264,0.014230190571715146
192,192,192,427,0.024448345035105314
193,193,193,187,0.00940320962888666
194,194,194,296,0.016236208625877633
195,195,195,156,0.00745987963891675
196,196,196,166,0.008086760280842528
197,197,197,101,0.004012036108324975
198,198,198,208,0.010719658976930793
199,199,199,104,0.004200100300902708
200,200,200,137,0.0062688064192577735
201,201,201,144,0.006707622868605817
202,202,202,142,0.006582246740220662
203,203,203,246,0.013101805416248747
204,204,204,121,0.00526579739217653
205,205,205,141,0.006519558676028084
206,206,206,160,0.007710631895687061
207,207,207,191,0.00965396188565697
208,208,208,181,0.009027081243731194
209,209,209,37,0.0
210,210,210,109,0.004513540621865597
211,211,211,90,0.00332246740220662
212,212,212,180,0.008964393179538616
213,213,213,198,0.010092778335005015
214,214,214,192,0.009716649949849549
215,215,215,121,0.00526579739217653
216,216,216,154,0.0073345035105315945
217,217,217,131,0.005892678034102307
218,218,218,172,0.008462888665997995
219,219,219,220,0.011471915747241726
220,220,220,146,0.006832998996990973
221,221,221,225,0.011785356068204614
222,222,222,133,0.006018054162487462
223,223,223,101,0.004012036108324975
224,224,224,251,0.013415245737211635
225,225,225,117,0.0050150451354062184
226,226,226,137,0.0062688064192577735
227,227,227,114,0.004826980942828485
228,228,228,99,0.0038866599799398196
229,229,229,162,0.007836008024072217
230,230,230,180,0.008964393179538616
231,231,231,108,0.004450852557673019
232,232,232,112,0.00470160481444333
233,233,233,102,0.004074724172517552
234,234,234,149,0.007021063189568706
235,235,235,100,0.0039493480441323975
236,236,236,106,0.004325476429287864
