,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t0,better_predicted_by_anyburl_t20,similar_triples
0,3919,11,39,False,1.0,1,1,1,1,1,1,1.0,0,0,0
1,3919,11,39,True,6960.0,5224,7136,5433,4673,2630,6246,0.7621847061820277,-1,-1,3928
2,1211,2,7345,False,68.0,27,33,28,29,26,19,0.9999999999235936,-1,0,10
3,1211,2,7345,True,3726.0,109,44,81,218,184,20,0.3300563112355672,-1,-1,28
4,14262,2,337,False,2.0,2,2,2,2,3,2,1.0,0,0,2
5,14262,2,337,True,614.0,921,1101,1070,912,584,938,1.364153786717202,1,1,2178
6,16366,2,599,False,16.0,19,16,24,24,12,19,1.0000000000000002,1,0,5
7,16366,2,599,True,1173.0,1216,1788,1606,1268,385,1034,1.0000075340626549,1,0,170
8,1742,1,4570,False,7.0,2,1,5,2,2,1,0.8264867836664689,-1,0,13
9,1742,1,4570,True,63.0,14,7,28,20,6,11,0.6769199632893258,-1,-1,46
10,413,2,98,False,38.0,27,20,20,25,48,23,0.9999999959165689,-1,0,5
12,8676,2,485,False,1.0,1,1,1,1,1,1,1.0,0,0,5
13,8676,2,485,True,27.0,4,5,2,5,3,6,0.9999869671285544,-1,0,2502
14,13857,1,2933,False,4.0,1,1,1,1,1,1,0.5857042777363232,-1,-1,1
15,13857,1,2933,True,252.0,3,1,8,2,1,3,0.6370714875784239,-1,-1,127
16,12150,2,21,False,4.0,3,3,3,3,2,3,0.8315566084295726,-1,0,4
17,12150,2,21,True,127.0,506,403,602,436,276,812,1.1622106990460594,1,0,1252
18,12127,2,59,False,6.0,2,3,2,2,1,1,0.596677797890269,-1,-1,4
19,12127,2,59,True,4461.0,1630,2122,1914,1534,1349,1231,0.5314595295692165,-1,-1,886
20,15225,2,309,False,1.0,1,1,1,1,1,1,1.0,0,0,4
21,15225,2,309,True,51.0,8,4,2,12,6,15,0.9248993058166136,-1,0,909
22,2566,39,6410,False,1.0,1,1,1,1,1,1,1.0,0,0,2
23,2566,39,6410,True,1.0,1,1,1,1,1,1,1.0,0,0,15
24,10936,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0,0
25,10936,3,31,True,2.0,40,26,71,32,24,46,1.112514106637417,1,0,4666
26,10711,21,4607,False,268.0,304,272,331,271,458,186,1.0000000000002534,1,0,0
27,10711,21,4607,True,5248.0,5718,3839,6562,6839,6277,5071,1.000075,1,0,10
28,13762,2,337,False,1.0,1,1,1,1,1,1,1.0,0,0,7
29,13762,2,337,True,56.0,17,18,18,23,13,11,0.9999690764721928,-1,0,2178
30,7121,32,6254,False,2.0,6,9,4,7,4,8,2.2073052733430094,1,1,0
32,11762,17,789,False,1.0,7,7,8,5,6,7,2.076662702406001,1,1,1
33,11762,17,789,True,735.0,1537,403,1914,1493,1884,1993,2.514499761172218,1,1,243
34,16494,15,3704,False,3.0,6,6,6,6,6,5,1.0000000075471844,1,0,1
35,16494,15,3704,True,1015.0,151,159,142,173,94,185,0.8154208296234717,-1,0,19
36,2899,14,288,False,1.0,1,1,1,1,1,1,1.0,0,0,1
37,2899,14,288,True,317.0,42,26,66,22,35,61,0.8256433170582134,-1,0,2440
38,8761,2,1199,False,1.0,1,1,1,2,1,1,1.0,0,0,9
39,8761,2,1199,True,13.0,6,1,4,22,2,2,0.9999922452532848,-1,0,233
40,7032,2,337,False,2.0,3,4,1,1,6,2,1.1717541861694305,1,0,8
41,7032,2,337,True,341.0,766,313,956,870,740,953,1.3915078402500434,1,1,2178
42,8840,2,102,False,6.0,4,4,7,3,4,3,0.9617920691815705,-1,0,3
43,8840,2,102,True,2446.0,2433,2556,2392,2040,2578,2600,0.999992497848429,-1,0,1791
44,2155,4,4559,False,38.0,10,12,10,8,15,7,0.7865280201417504,-1,-1,0
45,2155,4,4559,True,2230.0,1278,1118,1510,654,2157,952,0.8536961638757471,-1,0,37
46,12348,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0,0
47,12348,3,31,True,12.0,175,146,326,166,196,40,1.1316499357279586,1,0,4666
48,11480,22,233,False,1.0,1,1,1,1,1,1,1.0,0,0,0
49,11480,22,233,True,10.0,91,40,98,104,136,79,1.5136601275275097,1,1,240
50,3919,3,31,False,1.0,1,1,1,1,1,1,1.0,0,0,0
51,3919,3,31,True,1120.0,1949,842,2891,2437,1784,1792,1.083678556837417,1,0,4666
52,3280,1,1136,False,1.0,1,1,1,1,1,1,1.0,0,0,15
53,3280,1,1136,True,1.0,1,1,1,1,1,1,1.0,0,0,173
