,cluster_id,h_id,t_id,freq,norm_freq
0,0,2949,2949,18,0.006525911708253359
1,0,7961,7961,18,0.006525911708253359
2,0,8080,8080,18,0.006525911708253359
3,0,12303,12303,18,0.006525911708253359
4,0,15498,15498,18,0.006525911708253359
5,0,17693,17693,18,0.006525911708253359
6,0,22657,22657,18,0.006525911708253359
7,0,22818,22818,18,0.006525911708253359
8,0,23028,23028,18,0.006525911708253359
9,0,24055,24055,18,0.006525911708253359
10,0,24160,24160,18,0.006525911708253359
11,0,25568,25568,18,0.006525911708253359
12,0,25894,25894,18,0.006525911708253359
13,0,28605,28605,18,0.006525911708253359
14,0,28719,28719,18,0.006525911708253359
15,0,29384,29384,18,0.006525911708253359
16,0,36979,36979,18,0.006525911708253359
17,0,40796,40796,18,0.006525911708253359
18,1,17,17,1518,0.582341650671785
19,1,67,67,1518,0.582341650671785
20,1,76,76,1518,0.582341650671785
21,1,113,113,1518,0.582341650671785
22,1,123,123,1518,0.582341650671785
23,1,146,146,1518,0.582341650671785
24,1,187,187,1518,0.582341650671785
25,1,226,226,1518,0.582341650671785
26,1,227,227,1518,0.582341650671785
27,1,231,231,1518,0.582341650671785
28,1,232,232,1518,0.582341650671785
29,1,238,238,1518,0.582341650671785
30,1,336,336,1518,0.582341650671785
31,1,371,371,1518,0.582341650671785
32,1,401,401,1518,0.582341650671785
33,1,429,429,1518,0.582341650671785
34,1,452,452,1518,0.582341650671785
35,1,457,457,1518,0.582341650671785
36,1,531,531,1518,0.582341650671785
37,1,538,538,1518,0.582341650671785
38,1,543,543,1518,0.582341650671785
39,1,572,572,1518,0.582341650671785
40,1,668,668,1518,0.582341650671785
41,1,733,733,1518,0.582341650671785
42,1,762,762,1518,0.582341650671785
43,1,812,812,1518,0.582341650671785
44,1,867,867,1518,0.582341650671785
45,1,882,882,1518,0.582341650671785
46,1,943,943,1518,0.582341650671785
47,1,1076,1076,1518,0.582341650671785
48,1,1083,1083,1518,0.582341650671785
49,1,1117,1117,1518,0.582341650671785
50,1,1232,1232,1518,0.582341650671785
51,1,1238,1238,1518,0.582341650671785
