,h_id,r_id,t_id,predicted_head,rank_filtered_anyburl,rank_filtered_kge,rank_filtered_kge_0,rank_filtered_kge_1,rank_filtered_kge_2,rank_filtered_kge_3,rank_filtered_kge_4,difference_psi,better_predicted_by_anyburl_t0,better_predicted_by_anyburl_t20,similar_triples
0,6180,148,2861,False,1.0,1,1,1,1,1,1,1.0,0,0,11
1,6180,148,2861,True,1.0,1,1,1,1,1,1,1.0,0,0,43
2,1454,92,5951,False,70.0,37,37,50,47,22,29,0.999988440583314,-1,0,3
3,1454,92,5951,True,31.0,41,37,45,41,39,41,1.099317565662848,1,0,8
4,6651,13,637,False,1.0,1,1,1,1,1,1,1.0,0,0,33
5,6651,13,637,True,1.0,8,4,12,10,7,8,1.0164625713159308,1,0,362
6,1124,15,14037,False,154.0,165,164,175,162,158,165,1.0000368289631802,1,0,205
7,1124,15,14037,True,1.0,1,1,1,1,1,1,1.0,0,0,1
8,1124,15,13245,False,193.0,100,112,110,88,93,95,0.7671584388410218,-1,-1,205
9,1124,15,13245,True,1.0,1,1,1,1,1,1,1.0,0,0,1
10,140,6,6827,False,1387.0,1152,1054,1097,1539,1129,943,0.9999916674304716,-1,0,11
11,140,6,6827,True,602.0,922,824,844,1326,898,718,1.2499958315981514,1,1,8
12,1899,7,6401,False,1287.0,350,358,254,213,483,442,0.3553311734395379,-1,-1,10
13,1899,7,6401,True,43.0,52,65,25,35,73,62,1.0338951388262532,1,0,0
14,98,37,2794,False,50.0,23,25,23,16,22,28,0.9265840762637872,-1,0,110
15,98,37,2794,True,2.0,1,1,1,1,1,1,0.8771929824561404,-1,0,1
16,9317,31,3257,False,14.0,5,5,6,4,4,4,0.8507913954967719,-1,0,4
17,9317,31,3257,True,224.0,105,142,77,65,142,100,0.7767323690495319,-1,-1,138
18,3326,40,8901,False,4.0,375,204,524,250,570,325,2.6802193528947904,1,1,7
19,3326,40,8901,True,42.0,62,66,63,61,60,60,2.742790803180656,1,1,4
20,411,13,68,False,1.0,2,2,2,3,2,1,1.0208139173656416,1,0,23
21,411,13,68,True,22.0,9,11,9,11,10,6,0.9671581891336134,-1,0,290
24,10518,73,302,False,2.0,2,2,2,2,2,2,1.0,0,0,1
25,10518,73,302,True,5.0,97,97,96,96,97,97,1.3525264911795385,1,1,93
26,422,154,2438,False,1.0,1,1,1,1,1,1,1.0,0,0,0
27,422,154,2438,True,16.0,18,7,28,10,14,30,1.000000000842413,1,0,455
28,2208,66,2388,False,480.0,45,32,23,55,83,31,0.5693258812956762,-1,-1,3
29,2208,66,2388,True,1355.0,1138,1603,205,1516,1977,391,0.763173338142692,-1,-1,16
30,2868,95,2940,False,3.0,5,4,4,6,5,5,1.000063115542732,1,0,1
31,2868,95,2940,True,14.0,245,228,241,312,130,316,1.6414025945066957,1,1,95
32,12013,33,90,False,1.0,1,1,1,1,1,1,1.0,0,0,0
33,12013,33,90,True,218.0,40,44,37,30,52,36,0.5535097656784302,-1,-1,373
34,7603,103,4048,False,12.0,135,183,166,105,120,101,3.3804282768251213,1,1,3
35,7603,103,4048,True,1.0,17,42,25,6,8,4,3.380470212210684,1,1,0
36,1718,157,8277,False,34.0,39,37,43,36,40,39,1.0000000000003504,1,0,133
37,1718,157,8277,True,1.0,1,1,1,1,1,1,1.0,0,0,0
38,1718,157,10168,False,36.0,49,51,48,48,48,48,1.0338575088857775,1,0,133
39,1718,157,10168,True,1.0,1,1,1,1,1,1,1.0,0,0,0
40,4143,101,1467,False,1.0,2,1,3,2,2,2,1.3604651162790695,1,1,24
41,4143,101,1467,True,7.0,6,4,6,6,5,7,0.9999999993339505,-1,0,126
42,1234,18,2357,False,2.0,1,1,1,1,1,1,0.9999999979286506,-1,0,11
43,1234,18,2357,True,8.0,2,1,1,2,2,2,0.6844482369748329,-1,-1,40
44,12739,131,181,False,9.0,13,16,17,4,12,17,1.0000000000000002,1,0,19
45,12739,131,181,True,27.0,5,4,5,4,9,5,0.9999099648329146,-1,0,4
