,index,r_id,freq,norm_freq
0,0,0,88672,0.23718977750666195
1,1,1,321024,0.8588440834323263
2,2,2,373783,1.0
3,3,3,9248,0.024692051668967582
4,4,4,32155,0.08597938806305583
5,5,5,7348,0.019608630044627092
6,6,6,44978,0.12028713305722327
7,7,7,66163,0.17696728416861976
8,8,8,5056,0.013476418274633192
9,9,9,7754,0.02069487698119669
10,10,10,32055,0.0857118395565116
11,11,11,3757,0.010000963174623559
12,12,12,5150,0.013727913870784774
13,13,13,298,0.0007464603332584198
14,14,14,24068,0.06434274033882342
15,15,15,10710,0.02860361083464432
16,16,16,3389,0.00901638467054077
17,17,17,6933,0.01849830374246851
18,18,18,3083,0.008197686240515405
19,19,19,5481,0.014613499427446197
20,20,20,914,0.0023945591335709166
21,21,21,393,0.0010006314144754443
22,22,22,2163,0.00573623998030843
23,23,23,6047,0.016127823974486574
24,24,24,239,0.0005886067143973203
25,25,25,3455,0.009192966684859966
26,26,26,5064,0.013497822155156729
27,27,27,957,0.002509604991384938
28,28,28,1302,0.003432647338962554
29,29,29,2980,0.007922111278774843
30,30,30,2566,0.006814460461681703
31,31,31,555,0.0014340599950771074
32,32,32,378,0.0009604991384938089
33,33,33,726,0.001891567941267752
34,34,34,109,0.00024079365588981284
35,35,35,68,0.00013109876820667588
36,36,36,19,0.0
